ALink,SName,SLink,Lyric,language
/ivete-sangalo/,Muito Obrigado Axé,/ivete-sangalo/muito-obrigado-axe.html,"Odô, axé odô, axé odô, axé odô
Odô, axé odô, axé odô, axé odô

Isso é pra te levar no ilê
Pra te lembrar do badauê
Pra te lembrar de lá

Isso é pra te levar no meu terreiro
Pra te levar no candomblé
Pra te levar no altar

Isso é pra te levar na fé
Deus é brasileiro
Muito obrigado axé

Ilumina o mirin orumilá
Na estrada que vem a cota
É um malê é um maleme
Quem tem santo é quem entende

Quanto mais pra quem tem ogum
Missão e paz
Quanto mais pra quem tem ideais e
Os orixás

Joga as armas prá lá
Joga, joga as armas pra lá
Joga as armas pra lá
Faz a festa

Joga as armas prá lá
Joga, joga as armas pra lá
Joga as armas pra lá
Faz um samba

Joga as armas prá lá
Joga, joga as armas pra lá
Joga as armas pra lá
Traz a orquestra

Joga as armas prá lá
Joga, joga as armas pra lá
Joga as armas pra lá
Faz a festa",pt
/ivete-sangalo/,Não Precisa Mudar,/ivete-sangalo/nao-precisa-mudar.html,"Não precisa mudar
Vou me adaptar ao seu jeito
Seus costumes, seus defeitos
Seus ciúmes, suas caras
Pra que mudá-las?

Não precisa mudar
Vou saber fazer o seu jogo
Saber tudo do seu gosto
Sem deixar nenhuma mágoa
Sem cobrar nada

Se eu sei que no final fica tudo bem
A gente se ajeita numa cama pequena
Te faço um poema e te cubro de amor

Então você adormece
Meu coração enobrece
E a gente sempre se esquece
De tudo o que passou (2x)",pt
/ivete-sangalo/,Nada Vai Nos Separar,/ivete-sangalo/nada-vai-nos-separar.html,"Toda vez que eu pintar em seu pensamento
Se lembre que eu te amo
mais do que qualquer coisa nesse mundo
E nada vai nos separar
E a lembrança do teu beijo é a razão do meu sorriso
Mesmo que ele vá embora toda vez que eu desligo
E a distância se transforma em combustível da saudade

Mais uma noite que eu terei trabalho pra dormir

Se você vier eu te faço um café
Fico acordada a noite inteira
Me apaixonando de novo por você
E se você vier, eu juro se você vier
Num demorado beijo eu te conquisto outra vez",pt
/ivete-sangalo/,Tempo de Alegria,/ivete-sangalo/tempo-de-alegria.html,"É amor
É tanto amor que eu sinto esse momento
É tão bonito esse mar de mãos
Ver todo mundo assim cantando junto
É maravilhoso

É amor
Felicidade transbordando em mim
Tem tanto tempo nossa união
Chegou o dia que o meu coração
Tá daquele jeito

Dá pra ver, vai ferver
Bateu a sintonia
É tempo de alegria
Tão bom dividir com você

ÔÔ, ôô, ôô
Alegria, alegria",pt
/ivete-sangalo/,Agora Já Sei,/ivete-sangalo/agora-ja-sei.html,"Duvidava, não entendia
Quando alguém me falou
Suspirava de agonia
Pra sentir esse amor

Tempo mestre de todas
Horas e dias
Passou sem ver
Te amar de verdade
Sentir saudade
Mas só de você, Só de você

Agora eu já sei
Quando falta a respiração
É a prova que um coração
Já não sabe mais
Viver sem você

Agora eu já sei
Que me falta sempre a razão
Traduzir melhor a emoção
Do que trago aqui
Bem dentro de mim

Eu que duvidava e não sabia
Desse verdadeiro amor
Chegou
Verdadeiro amor chegou
Verdadeiro amor",pt
/ivete-sangalo/,Deixo,/ivete-sangalo/deixo.html,"Eu me lembro sempre onde quer que eu vá
Só um pensamento em qualquer lugar
Só penso em você
Em querer te encontrar
Só penso em você
Em querer te encontrar

Lembro daquele beijo que você me deu
E que até hoje está gravado em mim
E quando a noite vem
Fico louca pra dormir
Só pra ter você nos meus sonhos
Me falando coisas de amor

Sinto que me perco no tempo
Debaixo do meu cobertor

Eu faria tudo pra não te perder
Assim
Mas o dia vem e deixo você ir

Deixo você ir
Deixo você ir
Deixo você ir
Deixo você ir",pt
/ivete-sangalo/,Não Me Conte Seus Problemas,/ivete-sangalo/nao-me-conte-seus-problemas.html,"Ivete Sangalooooo!

Então não me conte seus problemas
Que hoje eu quero paz,
Eu quero amor
Então não me conte os seus problemas
Nada de tristeza nem de dor

Esse sol tão lindo gostoso de se ver
Essa vida boa, correndo pelas mãos
Esse povo todo cantando para valer
Solte essa cabeça, acelere o coração
Hoje eu to querendo falar de coisa boa
Hoje eu to querendo gostar mais de você
O povo balançando, dando risada atoa
Hoje só não dança quem gosta de sofrer!

Então não me conte seus problemas
Que hoje eu quero paz, eu quero amor
Então não me conte seus problemas
Nada de tristeza nem de dor
Então não me conte seus problemas
Não quero saber!
Hoje eu quero paz, eu quero amor
Então não me conte seus problemas
Nada de tristeza nem de dor!

Veja bem tá tudo certo
Nós dois na avenida dançando de coração aberto
Veja bem Deus não perdoa
Vamos pensar positivo que essa vida é muito boa

Então não me conte seus problemas
que hoje eu quero paz, eu quero amor
Então não me conte seus problemas
Nada de tristeza nem de dor!

Veja bem tá tudo certo
Nós dois na avenida dançando de coração aberto
Veja bem Deus não perdoa
Vamos pensar positivo que essa vida é muito boa!

Então não me conte seus problemas
que hoje eu quero paz, eu quero amor
Então não me conte seus problemas
Nada de tristeza nem de dor!",pt
/ivete-sangalo/,País Tropical / Arerê / Taj Mahal,/ivete-sangalo/pais-tropical-arere-taj-mahal.html,"Moro...
Num país tropical,
Abençoado por Deus
E bonito por natureza (Mas que beleza!)

Em fevereiro (Em fevereiro)
Tem carnaval (Tem carnaval)
Eu tenho um fusca e um violão,
Sou Flamengo e tenho uma nêga chamada Tereza

""Sambaby"", ""Sambaby""
Eu posso não ser um Band Leader (Pois é)
Mas assim mesmo, lá em casa todos meus amigos, meus camaradinhas me respeitam (Pois é)
Essa é a razão da simpatia, do poder do algo mais e da alegria...

Sou flá,flá ela eh me me


Tudo o que eu quero nessa vida
É amar você
Amar você
O seu amor é como uma chama acesa
que me queima de prazer
De prazer (2x)

Eu já falei com Deus que não vou te deixar
Vou te levar pra onde
Pra qualquer lugar
Já fiz de tudo pra não te perder

Arerê,
Um lobby, um hobby, um love com você
Arerê,
um lobby, um hobby, um love com você

Cai, cai, cai, cai, cai pra cá
Hey, hey, hey
Tudo, tudo,tudo, vai rolar

Arerê,
Um lobby, um hobby, um love com você
Arerê,
um lobby, um hobby, um love com você",pt
/ivete-sangalo/,Na Bahia,/ivete-sangalo/na-bahia.html,"Na Bahia ia ia ia
Na Bahia ia ia ia
Na Bahia...
Todo mundo na Bahia (2x)

Falar o quê?
Quando pisa nessa terra
Alegria toma conta de você

Falar de quem
Dessa música olodum, da timbalada
Ilê ayê e vai quem vem

Pra começar
Terra de todos os santos
Esperando por você que vai chegar

Se sinta bem
A Bahia também quer saber o que é que você tem

Na Bahia, ia, ia
Na Bahia, ia, ia
Na Bahia...
Todo mundo na Bahia (2x)

Se seu coração está pedindo pra ficar
Fique, cante, dance até cansar
Caia na folia e viva a música
Deixe o corpo te levar na boa",pt
/ivete-sangalo/,Completo,/ivete-sangalo/completo.html,"É tão bom ter alguém por perto
Pra você se sentir completo
Ter a mão que te leva pro futuro
Vislumbrando horizontes seguros...

É tão bom viajarmos juntos
E viver aproveitando tudo
Amanhã vai ser melhor que hoje
Novos sonhos ao amanhecer...

Imagino milhões de sorrisos
Cada um com seu jeito de ser
Mas ligados no mesmo destino
Um amor feito eu e você...

Refrão:
O céu e o mar
A lua e a estrela
O branco e o preto
Tudo se completa de algum jeito.

Homem e mulher
A faca e o queijo
O incerto e o perfeito
Tudo se completa de algum jeito.

O céu e o mar
A lua e a estrela
O branco e o preto
Tudo se completa de algum jeito.

Homem e mulher,
A faca e o queijo
O incerto e o perfeito
Tudo se completa de algum jeito.",pt
